email_counts,html tag_counts,url_counts,Twitter username_counts,hashtag_counts,character_counts,word_counts,unique word_counts,punctuation mark_counts,uppercase word_counts,lowercase word_counts,digit_counts,alphabetic char_counts,spam_label
0,0,1,0,0,234,42,32,14,4,32,4,175,1
1,64,0,0,0,1214,168,116,248,3,94,75,724,1
0,79,2,0,17,4489,499,287,765,24,331,216,3010,1
2,266,0,0,29,10158,1593,689,1530,217,985,384,6652,1
1,0,0,0,0,3319,407,284,1009,32,265,64,1840,1
0,0,0,0,0,1720,318,180,27,4,241,6,1370,1
4,91,15,0,13,4415,418,275,938,13,318,199,2861,1
0,102,3,0,55,5448,479,337,1178,14,210,491,3301,1
0,9,2,0,1,407,20,20,100,2,11,46,242,1
0,2,3,0,0,1372,200,160,72,4,84,36,1065,1
0,2,3,0,0,1019,149,123,66,7,104,10,795,1
1,0,1,0,0,367,25,24,28,0,14,7,169,1
3,150,24,1,11,9201,745,487,1516,180,129,391,5436,1
0,0,0,0,0,2311,388,233,51,24,311,8,1865,1
0,0,2,0,0,722,120,86,28,2,106,13,562,1
1,0,0,0,0,1373,220,130,119,5,181,109,926,1
0,98,45,0,0,5485,385,143,1342,246,55,407,3352,1
0,1,4,0,0,1784,251,176,173,4,210,43,1318,1
0,102,3,0,55,5465,486,341,1174,14,211,467,3339,1
4,41,20,0,3,2666,162,101,602,3,135,119,1784,1
2,6,10,0,0,3547,498,304,369,61,336,29,2652,1
1,0,1,0,0,9425,1675,731,441,56,1443,130,7180,1
0,0,3,0,0,1018,140,103,94,9,92,23,762,1
0,62,1,0,4,1985,246,193,386,7,191,52,1302,1
2,154,2,0,1,7998,763,434,1105,73,401,128,6003,1
0,0,1,0,0,322,49,46,22,0,46,0,252,1
0,0,3,0,0,1021,148,117,60,0,94,49,761,1
0,0,3,0,0,1020,149,118,61,0,94,51,756,1
0,1,4,0,0,3300,525,346,148,55,169,149,2479,1
0,0,1,0,27,18450,3233,1255,1673,351,2378,435,13110,1
2,96,18,0,31,4646,379,233,903,68,216,282,3083,1
0,119,16,0,12,6308,649,312,1297,15,531,319,4044,1
0,62,2,0,9,1100,111,85,275,6,45,80,635,1
2,0,1,0,0,4248,696,351,95,4,616,17,3441,1
2,0,2,0,0,639,94,82,41,0,67,17,488,1
5,91,8,0,10,3474,257,205,876,112,72,109,2233,1
2,115,0,0,28,4048,326,180,824,75,59,362,2537,1
0,162,4,0,18,6915,849,442,1160,33,559,335,4572,1
0,0,1,0,0,494,12,12,6,1,1,29,326,1
0,40,2,0,4,1090,97,82,222,0,51,54,718,1
0,0,0,0,0,19679,256,251,165,0,0,1994,17265,1
0,0,2,0,0,2169,345,234,280,45,180,58,1487,1
0,0,2,0,0,1649,302,180,90,67,198,57,1201,1
1,16,2,0,0,586,36,29,144,1,27,9,398,1
0,0,6,0,0,1290,189,149,80,54,121,38,984,1
0,0,0,0,0,3708,49,49,51,0,0,558,3051,1
1,105,7,0,45,4139,254,154,1081,25,138,225,2580,1
0,1,2,0,0,843,115,97,41,14,44,5,683,1
0,0,0,0,4,16031,2787,1113,1802,391,1869,405,11038,1
0,91,2,5,3,12024,647,350,2528,8,333,726,8113,1
0,28,6,0,1,1923,175,140,369,7,101,69,1311,1
0,143,39,0,5,5335,256,119,1407,54,73,178,3495,1
1,0,0,0,0,3079,378,272,895,33,243,66,1741,1
1,0,1,0,1,3715,549,300,542,8,319,70,2543,1
2,0,1,0,0,2868,469,275,114,34,378,37,2247,1
0,0,0,0,2,3826,594,363,132,11,475,104,2992,1
0,98,2,0,26,4815,444,311,1028,35,180,436,2908,1
1,4,5,0,0,1232,179,144,88,7,125,13,953,1
1,0,2,0,0,748,53,52,193,9,22,79,424,1
2,0,0,0,0,923,158,122,45,31,114,9,712,1
4,68,4,0,16,4354,509,303,684,27,407,181,2981,1
0,0,4,0,0,2785,467,278,256,34,371,18,2045,1
6,63,3,16,20,5291,476,306,1172,8,296,362,3276,1
7,39,11,0,2,2757,291,204,421,5,232,43,2001,1
0,0,3,0,0,1115,158,109,58,14,127,27,873,1
0,44,3,0,10,1730,176,121,345,5,116,120,1090,1
0,0,3,0,0,1290,171,120,145,2,126,22,953,1
0,57,0,0,1,2231,169,85,1282,7,97,48,733,1
2,0,1,0,4,16187,2800,1125,1822,391,1876,405,11161,1
0,0,2,0,0,643,108,78,28,0,96,15,493,1
0,3,4,0,0,3783,579,363,149,20,394,54,3002,1
7,59,10,0,7,4612,483,301,752,10,364,113,3265,1
2,0,1,1,0,1128,58,57,112,3,8,121,457,1
3,0,4,0,0,2925,560,269,368,39,283,50,1948,1
2,0,2,0,0,677,104,81,53,5,82,2,519,1
0,7,6,0,0,1369,184,133,111,18,146,48,1027,1
1,2,4,0,0,1764,295,192,335,55,148,72,1063,1
0,0,3,0,0,1019,151,106,48,0,127,11,810,1
4,1,6,0,0,1346,131,99,240,6,91,37,939,1
0,79,2,0,17,4489,499,287,765,24,331,216,3010,1
2,0,4,0,0,1297,175,123,86,17,134,36,1001,1
0,0,1,0,0,3776,543,350,173,9,449,21,3040,1
0,0,1,0,0,3776,543,350,173,9,449,19,3042,1
0,2,3,0,0,1187,174,128,69,13,115,38,907,1
2,0,2,0,0,1043,149,108,48,8,116,6,841,1
0,0,1,0,0,209,26,21,14,0,10,27,143,1
0,111,3,0,60,6077,542,370,1350,16,229,502,3684,1
1,0,2,0,0,752,103,83,128,9,71,43,479,1
0,0,0,0,0,1533,26,26,2,0,0,205,1301,1
0,1,2,0,0,613,97,79,50,10,36,21,446,1
0,0,0,0,0,360,5,5,0,0,0,36,320,1
0,0,2,0,0,694,109,79,29,0,96,35,522,1
1,0,0,0,0,2379,399,278,336,91,230,67,1569,1
3,0,3,0,0,902,116,95,147,9,78,43,597,1
0,0,0,0,0,4140,57,57,3,0,0,488,3593,1
12,0,7,0,0,71433,11456,3131,2061,361,8661,698,57169,1
0,0,0,0,0,2509,425,234,60,423,0,10,2015,1
0,0,1,0,0,483,81,69,21,0,60,17,365,1
0,69,24,0,5,3204,292,175,719,110,136,366,1828,1
0,14,3,0,1,580,46,42,107,7,21,44,384,1
3,143,1,0,7,4793,493,312,921,44,220,105,3275,1
0,74,2,0,9,2764,306,225,578,8,180,159,1722,1
1,0,2,0,0,676,42,41,185,7,14,73,377,1
0,3,4,0,0,1381,221,144,147,4,78,135,879,1
0,0,0,0,0,2970,494,276,57,13,426,16,2404,1
7,0,1,0,0,1773,212,182,117,175,23,14,1431,1
2,0,0,0,0,729,106,74,30,0,89,19,575,1
2,43,2,0,1,1886,173,150,548,10,106,34,1132,1
0,95,0,0,0,7169,715,483,1106,38,438,964,4385,1
0,0,3,0,0,941,154,95,33,0,138,27,728,1
0,3,4,0,0,883,127,101,67,4,75,23,667,1
1,0,0,0,0,2504,437,251,41,32,347,4,2023,1
1,8,0,0,0,1111,106,85,213,5,77,331,462,1
0,0,1,1,0,4401,727,385,160,41,620,58,3450,1
0,92,1,0,44,4885,437,267,1103,5,210,442,2904,1
0,0,3,0,0,478,54,52,37,0,30,6,382,1
1,0,6,0,0,2727,408,254,372,35,233,101,1847,1
4,0,1,0,0,1376,187,134,63,2,163,0,1127,1
0,0,0,0,0,5335,88,87,41,0,0,526,4681,1
0,2,3,0,0,1510,228,165,95,8,162,52,1136,1
0,0,0,0,0,5385,70,70,70,0,0,822,4424,1
2,115,0,0,27,4004,331,182,820,74,68,349,2505,1
4,79,33,0,3,4863,303,184,1005,42,165,416,3140,1
1,0,6,0,0,655,77,71,81,0,25,51,447,1
0,0,0,0,0,162,24,23,7,23,1,1,131,1
0,0,0,0,0,3814,63,63,40,0,0,601,3111,1
0,102,0,0,20,3120,246,143,750,16,112,186,1939,1
1,0,1,0,0,9400,1675,731,440,56,1443,118,7168,1
2,0,1,0,0,2850,467,273,114,34,378,37,2231,1
0,0,3,0,0,513,33,27,40,2,3,33,325,1
0,49,2,0,1,1788,158,111,447,5,120,169,1015,1
0,0,2,0,0,677,109,79,28,0,96,27,514,1
1,124,4,0,21,4688,457,256,898,1,347,289,3045,1
0,102,3,0,55,5433,482,340,1173,14,210,468,3311,1
0,33,4,0,4,1538,189,149,251,64,98,47,1052,1
1,81,15,0,6,3645,313,210,734,25,199,192,2406,1
1,471,1,0,43,27346,3142,1327,3680,86,2457,566,19959,1
1,0,2,0,0,754,103,83,127,9,71,43,482,1
4,1,3,0,0,1398,229,152,91,5,186,28,1051,1
2,104,18,0,8,6395,444,291,1550,16,199,678,3724,1
2,0,1,0,0,3116,504,286,77,13,430,16,2520,1
0,29,2,0,0,1155,167,129,151,5,134,25,812,1
0,12,1,0,0,428,71,63,64,11,44,26,268,1
0,149,39,0,6,5378,261,134,1413,54,74,147,3558,1
4,68,4,0,16,4358,509,303,684,27,407,185,2981,1
0,55,4,0,1,2671,213,124,585,14,146,79,1795,1
0,0,2,0,0,706,109,79,31,0,96,51,516,1
0,95,0,0,0,7166,715,483,1103,38,438,964,4385,1
2,0,3,0,0,1110,161,117,48,12,123,9,893,1
2,0,0,0,0,1915,324,202,60,23,236,29,1503,1
0,2,3,0,0,1289,190,150,92,3,80,70,938,1
4,0,1,0,0,1105,166,121,65,23,114,2,873,1
1,0,0,0,0,3855,603,364,124,4,522,0,3129,1
1,0,0,0,0,3326,407,284,1010,32,265,64,1846,1
0,0,3,0,0,705,105,83,76,0,92,12,513,1
3,0,7,0,0,758,82,78,100,0,32,51,526,1
0,21,2,0,0,4009,617,361,278,13,551,25,3064,1
2,0,2,0,0,563,87,66,41,0,68,10,426,1
1,0,6,0,0,616,69,65,81,0,25,51,416,1
1,0,1,0,0,2237,366,219,112,17,290,24,1736,1
0,2,2,0,0,833,125,99,75,8,50,45,589,1
0,50,2,0,1,1132,125,103,281,4,109,23,704,1
0,29,2,0,0,972,129,105,171,15,84,44,629,1
2,13,0,0,0,672,95,73,81,2,82,5,492,1
0,0,2,0,0,646,77,65,189,3,29,28,353,1
4,41,12,0,4,2391,168,132,462,27,103,106,1656,1
4,84,27,0,2,3351,294,175,701,101,134,45,2312,1
0,44,3,0,10,1734,176,121,344,5,116,120,1095,1
1,0,0,0,0,3261,576,316,127,10,522,20,2539,1
0,106,3,0,12,4953,545,270,873,102,281,253,3283,1
3,0,3,0,0,1086,160,121,67,0,129,22,838,1
0,51,1,0,2,528,42,32,155,11,21,8,324,1
1,4,4,0,0,436,48,47,63,0,11,37,289,1
0,40,4,0,7,2120,197,145,465,1,120,204,1255,1
0,0,0,0,0,2655,44,44,16,0,0,301,2295,1
0,1,2,0,0,965,145,125,58,6,75,48,715,1
1,0,3,0,0,1554,229,155,104,3,184,14,1208,1
2,23,0,0,0,1116,137,106,137,12,81,43,800,1
0,107,3,0,12,5015,547,272,883,102,281,276,3310,1
2,106,2,0,50,5299,448,312,1168,11,211,430,3254,1
3,0,7,0,0,758,82,78,100,0,32,51,526,1
2,0,1,0,0,2701,438,259,84,16,359,10,2170,1
0,98,2,0,26,4815,444,311,1028,35,180,436,2908,1
4,108,1,0,19,4073,359,257,818,64,170,276,2621,1
0,24,1,0,9,1104,75,68,206,10,12,116,708,1
0,0,0,0,3,16068,2796,1119,1801,399,1867,403,11069,1
0,20,2,0,5,877,67,55,193,1,38,64,554,1
1,0,1,0,0,972,126,104,117,4,73,24,706,1
0,0,1,0,0,541,95,79,18,0,84,9,420,1
10,178,7,0,6,10482,1084,537,1696,8,880,215,7488,1
0,0,0,0,0,2509,425,234,60,423,0,10,2015,1
0,23,1,0,9,1200,140,119,178,44,66,48,835,1
2,0,1,0,0,1817,293,206,71,15,219,24,1430,1
1,0,5,0,0,1751,260,181,95,27,168,37,1360,1
4,56,17,0,4,3759,339,237,701,16,250,100,2620,1
0,0,0,0,0,1537,26,26,15,0,0,165,1332,1
0,0,4,0,0,932,119,106,72,25,53,17,725,1
0,0,0,0,0,2802,455,274,62,15,332,105,2181,1
0,0,0,0,0,699,12,12,15,0,0,91,582,1
1,0,5,0,0,1745,260,181,95,27,168,40,1351,1
0,0,3,0,0,957,151,110,46,5,118,27,734,1
2,0,4,0,0,1217,161,129,84,0,101,67,902,1
0,0,1,0,0,302,46,40,17,2,35,0,240,1
11,125,37,0,1,7855,572,198,1669,19,234,483,5132,1
4,103,1,0,28,4165,362,267,797,55,164,313,2694,1
0,95,0,0,0,7173,715,483,1110,38,438,964,4385,1
1,0,0,0,0,1314,220,130,115,5,181,80,900,1
5,91,8,0,10,3494,257,205,876,112,70,109,2253,1
0,1,2,0,0,2743,395,273,100,9,327,2,2247,1
0,0,0,0,0,1785,30,30,2,0,0,166,1588,1
0,0,2,0,0,540,82,65,29,4,23,32,397,1
1,0,1,0,0,377,25,24,29,0,13,7,178,1
0,0,0,0,0,1224,17,17,12,0,0,148,1048,1
0,33,3,0,1,1283,151,122,267,0,125,39,827,1
1,0,2,0,0,761,103,83,128,9,71,47,484,1
0,0,0,0,0,4190,55,55,38,0,0,570,3528,1
1,0,1,0,0,2291,370,224,117,17,297,24,1781,1
3,0,7,0,0,758,82,78,100,0,32,51,526,1
4,0,1,0,0,1123,168,123,65,23,114,2,889,1
2,0,4,0,0,1327,171,121,82,12,134,51,1024,1
1,62,3,0,11,3167,337,239,630,9,225,161,2040,1
0,0,0,0,27,5865,487,306,728,48,235,859,3792,1
0,0,0,0,0,1805,30,30,2,0,0,169,1605,1
0,0,2,0,0,705,109,79,30,0,96,41,526,1
3,0,1,0,0,2969,474,285,84,22,394,19,2392,1
2,0,1,0,0,1422,230,143,94,9,194,3,1096,1
0,0,0,0,0,37434,487,486,323,0,0,4198,32427,1
0,3,4,0,0,2094,300,184,141,3,210,136,1518,1
0,98,2,0,6,6013,872,422,786,21,676,128,4214,1
2,0,5,0,0,661,71,66,96,0,30,34,461,1
1,87,6,0,21,4109,401,236,835,11,241,202,2671,1
0,0,0,0,0,1545,26,25,0,0,0,164,1356,1
1,0,6,0,0,2733,408,254,372,35,233,101,1853,1
0,107,2,0,41,5365,470,318,1187,35,180,492,3217,1
0,35,2,0,3,931,75,69,207,16,22,40,610,1
0,63,2,0,21,2796,295,206,546,0,192,197,1759,1
1,117,51,0,7,6740,374,180,1514,141,112,630,4223,1
0,0,2,0,0,545,75,65,34,0,33,28,409,1
4,29,11,0,4,1792,128,95,391,8,91,57,1217,1
1,0,0,0,0,2754,435,296,337,151,212,41,1942,1
0,14,3,0,1,571,46,42,104,7,21,44,378,1
0,106,3,0,49,4926,397,276,1139,10,173,410,2981,1
2,0,0,0,1,3405,478,328,600,37,300,181,2143,1
4,131,26,0,9,8658,831,412,1663,27,631,294,5871,1
0,0,1,0,0,485,75,70,24,0,64,10,377,1
0,3,1,0,0,190,13,13,36,3,10,18,124,1
0,0,3,0,0,847,124,87,79,0,103,53,592,1
3,0,1,0,0,126031,1830,1757,3458,61,49,18960,101185,1
0,0,2,0,0,636,100,81,27,2,64,20,490,1
0,0,0,0,0,919,16,16,2,0,0,122,780,1
0,1,4,0,0,1744,251,176,169,4,210,49,1276,1
0,2,3,0,0,1051,154,125,64,11,100,11,823,1
2,0,16,0,0,3321,476,278,558,36,257,151,2137,1
3,0,1,0,0,2925,510,303,63,18,412,12,2341,1
0,81,42,0,1,4317,184,87,1069,42,74,285,2780,1
3,0,1,0,0,2399,375,220,70,8,311,16,1939,1
2,0,0,0,0,731,99,81,85,2,87,0,548,1
0,19,2,0,7,855,78,61,180,20,36,40,558,1
0,94,1,0,22,3492,236,172,758,57,31,436,2063,1
0,0,1,0,0,483,81,69,21,0,60,17,365,1
4,4,3,0,0,1346,188,147,121,8,71,132,906,1
2,0,3,0,0,2325,358,246,300,45,187,58,1610,1
0,0,2,0,0,708,109,79,32,0,96,46,522,1
1,0,2,0,0,1031,130,99,164,4,82,24,714,1
0,464,1,0,43,27043,3101,1313,3650,85,2423,558,19735,1
0,26,2,0,5,1099,93,80,240,37,6,68,699,1
2,12,0,0,0,1239,198,128,88,5,179,5,949,1
0,0,1,0,0,208,26,21,14,0,10,26,143,1
0,0,1,0,0,612,51,46,43,5,31,8,449,1
0,0,1,0,0,735,124,86,29,1,86,5,578,1
0,464,1,0,43,27030,3101,1313,3650,85,2423,544,19736,1
1,0,6,0,0,616,69,65,81,0,25,51,416,1
0,42,4,0,14,2426,290,206,410,8,241,118,1609,1
1,0,1,0,0,8482,1485,727,445,133,1165,126,6427,1
2,0,3,0,0,1139,156,108,60,6,129,39,885,1
1,99,1,0,7,3482,350,249,692,81,127,193,2248,1
0,1,0,0,0,825,105,87,95,11,62,100,526,1
3,0,1,0,0,2186,334,212,180,23,241,32,1641,1
0,0,0,0,15,20002,3454,1299,2437,431,2418,466,13646,1
2,0,1,0,0,3044,500,205,136,89,80,269,2131,1
2,4,3,0,0,1507,207,153,100,4,142,49,1152,1
1,87,6,0,21,4120,401,236,838,11,241,207,2674,1
0,0,0,0,0,223,4,4,2,0,0,32,186,1
3,0,0,0,0,1048,154,98,95,3,122,12,788,1
1,0,6,0,0,616,69,65,81,0,25,51,416,1
5,0,1,0,0,1854,282,190,54,21,219,24,1493,1
0,26,2,0,5,1097,93,80,242,37,6,66,697,1
1,294,68,0,68,15173,920,353,3827,47,684,1450,8977,1
0,0,3,0,0,841,124,87,79,0,103,53,586,1
0,67,3,0,52,3543,300,133,755,128,38,393,2096,1
0,0,0,0,0,2506,419,243,59,26,339,26,2003,1
0,0,0,0,0,1520,25,25,1,0,0,174,1321,1
4,16,5,0,2,1290,114,96,240,8,87,43,894,1
1,243,32,0,41,11598,1031,495,2514,30,755,638,7416,1
0,40,12,0,4,1905,105,77,370,26,33,150,1281,1
0,0,3,0,0,1106,158,108,60,13,127,31,858,1
1,0,6,0,0,1625,219,169,151,16,119,59,1197,1
1,0,1,0,0,368,25,24,28,0,14,7,170,1
2,56,4,0,1,2150,191,156,473,3,118,73,1414,1
0,2,3,0,0,589,85,75,51,3,55,20,434,1
0,0,1,0,0,449,70,66,17,1,52,0,363,1
5,244,21,0,68,25902,2666,896,4238,604,1475,1318,17681,1
2,7,4,0,0,1373,187,134,104,19,148,38,1045,1
0,0,0,0,0,478,83,68,15,2,68,31,350,1
0,0,0,1,0,2320,417,231,80,26,355,14,1810,1
4,394,13,0,30,16383,1215,533,3430,4,954,1556,10183,1
1,0,2,0,0,891,145,107,47,0,122,16,684,1
0,14,3,0,1,630,53,48,121,12,21,69,388,1
2,0,5,0,0,706,77,74,96,2,34,38,496,1
0,28,6,0,1,1927,175,140,370,7,101,69,1314,1
2,238,7,0,47,9280,664,377,1922,61,291,644,6051,1
14,0,9,0,0,11045,1593,816,484,80,1099,225,8662,1
0,95,0,0,0,7167,715,483,1104,38,438,964,4385,1
0,0,1,0,0,483,81,69,21,0,60,17,365,1
0,0,2,0,0,688,109,79,29,0,96,33,518,1
0,0,0,0,0,1537,26,26,0,0,0,202,1310,1
0,0,0,0,0,1717,317,181,27,4,240,6,1368,1
1,8,0,0,0,1115,98,77,213,5,76,331,474,1
3,0,1,0,0,2576,402,258,74,27,324,35,2066,1
0,0,0,0,0,910,15,15,2,0,0,121,773,1
2,0,6,0,0,753,83,75,111,0,36,34,526,1
0,413,1,0,34,17105,2395,1144,2727,332,1463,432,11552,1
5,0,1,0,0,3486,579,336,117,33,431,53,2737,1
0,57,2,0,1,1812,236,184,342,6,196,53,1182,1
0,0,0,0,0,862,15,15,4,0,0,109,735,1
1,117,1,0,10,4549,511,308,1215,15,174,136,2688,1
1,2,2,0,0,597,74,62,194,2,44,15,315,1
0,0,0,0,0,830,151,106,21,20,97,17,642,1
0,0,4,0,0,921,120,90,91,8,84,10,701,1
1,0,2,0,0,891,145,107,47,0,122,16,684,1
1,0,0,0,0,17901,2964,1242,562,59,2683,8,14368,1
1,87,6,0,21,4044,401,236,831,11,241,178,2634,1
0,3,4,0,0,1213,173,145,99,4,63,66,876,1
0,3,4,0,0,1451,198,149,154,6,110,82,1018,1
0,0,0,0,0,3005,512,290,49,9,460,22,2423,1
0,0,0,0,0,3025,42,42,2,0,0,344,2638,1
3,0,1,0,0,3055,531,312,66,13,430,13,2446,1
2,0,3,0,0,1103,156,108,63,6,129,44,841,1
4,13,1,0,0,846,110,87,101,2,89,5,631,1
1,0,0,0,0,23670,3510,1460,2150,129,2219,297,17713,1
1,23,5,0,1,1330,85,67,459,1,72,61,726,1
1,4,8,0,0,3277,482,283,496,39,300,66,2231,1
4,0,1,0,0,4278,711,386,122,36,568,39,3407,1
0,16,2,0,1,567,69,55,96,20,36,12,391,1
1,42,5,0,7,2204,218,160,392,38,121,126,1468,1
0,470,10,0,46,15106,879,609,3422,103,258,409,10396,1
0,7,1,0,0,619,89,75,57,1,71,10,464,1
1,0,0,0,0,1247,204,154,56,26,143,21,967,1
0,0,0,0,0,2061,34,34,1,0,0,239,1788,1
1,415,52,0,7,17432,1638,747,3447,24,714,460,11888,1
0,40,2,0,0,1168,166,112,202,9,119,28,773,1
4,123,27,0,18,7573,678,356,1641,15,572,369,4885,1
0,44,3,0,10,1729,176,121,343,5,116,120,1091,1
0,104,2,0,54,5167,482,312,1116,10,351,322,3248,1
0,0,3,0,0,1860,273,192,96,1,220,33,1459,1
0,0,1,0,1,400,51,45,29,5,13,39,270,1
0,2,3,0,0,1109,170,123,103,9,107,77,760,1
0,1,2,0,0,446,62,58,41,6,43,23,321,1
4,54,19,0,7,3780,235,149,813,3,198,145,2588,1
0,3,4,0,0,1779,251,182,118,8,158,69,1342,1
0,19,3,0,1,744,60,56,151,17,21,78,456,1
3,38,4,0,0,3171,192,165,829,25,84,438,1713,1
0,0,0,0,0,3806,63,63,40,0,0,595,3109,1
0,95,0,0,0,7167,715,483,1104,38,438,964,4385,1
1,0,1,0,0,372,25,24,28,0,14,7,174,1
1,359,120,0,94,30198,3170,1628,4980,182,2296,811,21238,0
2,0,0,1,0,1176,204,148,70,3,177,2,901,0
